Rank,Campus,Escola,Cidade,Tipo,Area,Inscritos,Timestamp,Modalidade
19,Congonhas,EE MONSENHOR HORTA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
20,Congonhas,EM DEPUTADO SEBASTIAO PATRUS DE SOUSA,Carandaí - MG,Pública Municipal,Urbana,1,2026-08-18 17:45:00.000000,SUP
21,Congonhas,EE ISABEL DA SILVA POLCK,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
22,Congonhas,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
23,Congonhas,EE CORONEL JOSE ILDEFONSO,Piranga - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
24,Congonhas,EE INTERVENTOR ALCIDES LINS,Curvelo - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
25,Congonhas,EE PROFESSOR ASTOR VIANNA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
26,Congonhas,EE ODILON BEHRENS,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
27,Congonhas,EE AFONSO PENA,Santa Bárbara - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
28,Congonhas,EE ALVIM RODRIGUES DO PRADO,Itaguara - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
29,Congonhas,EE QUEIROZ JUNIOR,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
1,Formiga,IFMG - CAMPUS FORMIGA,Formiga - MG,Pública Federal,Urbana,16,2026-08-18 17:45:00.000000,SUP
2,Formiga,EE PROFESSOR JOAQUIM RODARTE,Formiga - MG,Pública Estadual,Urbana,11,2026-08-18 17:45:00.000000,SUP
3,Formiga,EE JALCIRA SANTOS VALADAO,Formiga - MG,Pública Estadual,Urbana,8,2026-08-18 17:45:00.000000,SUP
4,Formiga,EE DR ABILIO MACHADO,Formiga - MG,Pública Estadual,Urbana,8,2026-08-18 17:45:00.000000,SUP
5,Formiga,EE RODOLFO ALMEIDA,Formiga - MG,Pública Estadual,Urbana,6,2026-08-18 17:45:00.000000,SUP
6,Formiga,EE DA VILA BOA VISTA,Arcos - MG,Pública Estadual,Urbana,5,2026-08-18 17:45:00.000000,SUP
7,Formiga,EE DONA BERENICE DE MAGALHAES PINTO,Arcos - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,SUP
8,Formiga,EE PADRE JOSE SANGALI,Córrego Fundo - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
9,Formiga,COLEGIO UNIFOR,Formiga - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,SUP
10,Formiga,EE PROFESSOR TONICO LEITE,Formiga - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
11,Formiga,EE JOSE TEOTONIO DE CASTRO,Lagoa da Prata - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
12,Formiga,COLEGIO LOSANGO DE FORMIGA,Formiga - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,SUP
13,Formiga,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
14,Formiga,EE PRESIDENTE TANCREDO DE ALMEIDA NEVES,Cláudio - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
15,Formiga,CAIC NACOES UNIDAS,Rio de Janeiro - RJ,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
16,Formiga,EE PROFESSOR FRANCISCO DE PAULA REBELO HORTA,Piumhi - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
17,Formiga,IFBA - SALVADOR,Salvador - BA,Pública Federal,Urbana,1,2026-08-18 17:45:00.000000,SUP
18,Formiga,INST MARIA AUGUSTA MACHADO - IMAM,Lagoa da Prata - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
19,Formiga,IFMG - CAMPUS AVANCADO DE IPATINGA,Ipatinga - MG,Pública Federal,Urbana,1,2026-08-18 17:45:00.000000,SUP
20,Formiga,ANTONIO REGINATO PROF,Marília - SP,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
21,Formiga,EE PROFESSOR JOSE MONTEIRO,Campo Belo - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
22,Formiga,EEEFM PASTOR ANTONIO NUNES DE CARVALHO,Alto Rio Novo - ES,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
23,Formiga,COLEGIO SAO FRANCISCO,Passos - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
24,Formiga,EE MONSENHOR ALFREDO DOHR,Lagoa da Prata - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
25,Formiga,MORUMBI SUL COLEGIO,São Paulo - SP,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
26,Formiga,EE MODESTO ANTONIO DE OLIVEIRA,Capitólio - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
27,Formiga,CE CARLOS MAGNO NAZARETH CERQUEIRA,Rio de Janeiro - RJ,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
28,Formiga,COLEGIO LOSANGO DE ARCOS,Arcos - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
29,Formiga,INSTITUTO ESTHER VALERIO,Pitangui - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
30,Formiga,COLEGIO ESTADUAL EDUARDO BAHIANA,Salvador - BA,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
1,Governador Valadares,EE PROFESSOR NELSON DE SENA,Governador Valadares - MG,Pública Estadual,Urbana,7,2026-08-18 17:45:00.000000,SUP
2,Governador Valadares,EE PREFEITO JOAQUIM PEDRO NASCIMENTO,Governador Valadares - MG,Pública Estadual,Urbana,7,2026-08-18 17:45:00.000000,SUP
3,Governador Valadares,IFMG - CAMPUS GOVERNADOR VALADARES,Governador Valadares - MG,Pública Federal,Urbana,5,2026-08-18 17:45:00.000000,SUP
4,Governador Valadares,EE FREI INOCENCIO,Frei Inocêncio - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
5,Governador Valadares,EE PROFESSORA THEOLINDA DE SOUZA CARMO,Governador Valadares - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
6,Governador Valadares,EE PROFESSOR DARCY RIBEIRO,Governador Valadares - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
7,Governador Valadares,CESEC DE GOVERNADOR VALADARES,Governador Valadares - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
8,Governador Valadares,EE PROFESSOR PAULO FREIRE,Governador Valadares - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
9,Governador Valadares,EE SINVAL RODRIGUES COELHO,Governador Valadares - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
10,Governador Valadares,EE JULIO SOARES,Governador Valadares - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
11,Governador Valadares,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,2,2026-08-18 17:45:00.000000,SUP
12,Governador Valadares,EE JOAO WESLEY,Governador Valadares - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
13,Governador Valadares,ESCOLA ESTADUAL DOM MARIO DE MIRANDA VILAS BOAS,Bujaru - PA,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
14,Governador Valadares,IFC - CAMPUS ARAQUARI,Araquari - SC,Pública Federal,Urbana,1,2026-08-18 17:45:00.000000,SUP
15,Governador Valadares,EE CARLOS LUZ,Governador Valadares - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
16,Governador Valadares,EEEFM ANGELICA PAIXAO,Guarapari - ES,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
17,Governador Valadares,EE ABILIO RODRIGUES PATTO,Governador Valadares - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
18,Governador Valadares,EE COMENDADOR NASCIMENTO NUNES LEAL,Resplendor - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
19,Governador Valadares,EE PROFESSOR CARVALHAIS,Divinolândia de Minas - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
20,Governador Valadares,EE ODILON BEHRENS,Guanhães - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
21,Governador Valadares,EE DE CONSELHEIRO PENA,Conselheiro Pena - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
22,Governador Valadares,EE QUINTINO BOCAIUVA,Governador Valadares - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
23,Governador Valadares,COLEGIO MIGUEL AFONSO,Teixeira de Freitas - BA,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
24,Governador Valadares,SUPREMO PALMAS DE ENSINO LTDA,Palmas - TO,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
25,Governador Valadares,EE PEDRO FARIA,Governador Valadares - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
26,Governador Valadares,ESCOLA ESTADUAL DARCY AUGUSTO MICHILES,Boa Vista do Ramos - AM,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
27,Governador Valadares,COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS UNIDADE PASTOR JOSE ANTERO RIBEIRO,Bom Jesus de Goiás - GO,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
28,Governador Valadares,CIEP 259 PROFESSORA MARIA DO AMPARO RANGEL DE SOUZA,Maricá - RJ,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
29,Governador Valadares,COLEGIO SAO BENEDITO,Santa Luzia - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
30,Governador Valadares,EE IRMAOS FERNANDES,Itaobim - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
1,Ibirité,IFMG - CAMPUS IBIRITE,Ibirité - MG,Pública Federal,Urbana,14,2026-08-18 17:45:00.000000,SUP
2,Ibirité,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,10,2026-08-18 17:45:00.000000,SUP
3,Ibirité,EE JUSCELINO KUBITSCHEK DE OLIVEIRA,Ibirité - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
4,Ibirité,EE DOMINGAS MARIA DE ALMEIDA,Belo Horizonte - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
5,Ibirité,EE PROFESSOR CLAUDIO BRANDAO,Belo Horizonte - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
6,Ibirité,ESCOLA SANDOVAL SOARES DE AZEVEDO - ESSA,Ibirité - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
7,Ibirité,EE GYSLAINE DE FREITAS ARAUJO,Ibirité - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
8,Ibirité,EE ANTONIO MARINHO CAMPOS,Ibirité - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
9,Ibirité,EE JOSE RODRIGUES BETIM,Ibirité - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
10,Ibirité,SIC - ESCOLA PROFISSIONALIZANTE SANTO AGOSTINHO,Belo Horizonte - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,SUP
11,Ibirité,ESCOLA SESI HAMLETO MAGNAVACCA,Belo Horizonte - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,SUP
12,Ibirité,EE JOAO FERREIRA DE FREITAS,Ibirité - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
13,Ibirité,CESEC CLEMENTE DE FARIA,Contagem - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
14,Ibirité,EE ODILON BEHRENS,Belo Horizonte - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
15,Ibirité,EE PEDRO EVANGELISTA DINIZ,Ibirité - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
16,Ibirité,EE JOSE PEREIRA DOS SANTOS,Sarzedo - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
17,Ibirité,EE GOVERNADOR MILTON CAMPOS,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
18,Ibirité,EE IONE SILVEIRA MENDES,Mato Verde - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
19,Ibirité,EE PROFESSORA MARIA BELMIRA TRINDADE,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
20,Ibirité,COLEGIO TIRADENTES PMMG GAMELEIRA,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
21,Ibirité,EE CORA CORALINA,Ibirité - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
22,Ibirité,EE DOUTOR AURINO MORAIS,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
23,Ibirité,COLEGIO ECCELLENTE - UNIDADE PALMARES,Belo Horizonte - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
24,Ibirité,IEC-UNIDADE CRUZEIRO DO SUL,Contagem - MG,Pública Municipal,Urbana,1,2026-08-18 17:45:00.000000,SUP
25,Ibirité,COL CHROMOS BARREIRO,Belo Horizonte - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
26,Ibirité,IEC-UNIDADE RIACHO,Contagem - MG,Pública Municipal,Urbana,1,2026-08-18 17:45:00.000000,SUP
27,Ibirité,COLEGIO MATTER,Sarzedo - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
28,Ibirité,IFMG - CAMPUS BETIM,Betim - MG,Pública Federal,Urbana,1,2026-08-18 17:45:00.000000,SUP
29,Ibirité,CESEC DE NOVA SERRANA,Nova Serrana - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
30,Ibirité,EE CECILIA MEIRELES,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
1,Ipatinga,EE DONA CANUTA ROSA OLIVEIRA BARBOSA,Ipatinga - MG,Pública Estadual,Urbana,5,2026-08-18 17:45:00.000000,SUP
2,Ipatinga,IFMG - CAMPUS AVANCADO DE IPATINGA,Ipatinga - MG,Pública Federal,Urbana,3,2026-08-18 17:45:00.000000,SUP
3,Ipatinga,CEFET-MG - UNED TIMOTEO,Timóteo - MG,Pública Federal,Urbana,3,2026-08-18 17:45:00.000000,SUP
4,Ipatinga,EE JOAO XXIII,Ipatinga - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
5,Ipatinga,EE LAURA XAVIER SANTANA,Ipatinga - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
6,Ipatinga,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,2,2026-08-18 17:45:00.000000,SUP
7,Ipatinga,EE GERALDO GOMES RIBEIRO,Ipatinga - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
8,Ipatinga,EE FREI MARCELINO DE MILAO,Iapu - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
9,Ipatinga,EE ROTILDINO AVELINO,Coronel Fabriciano - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
10,Ipatinga,CENTRO EDUCA MAIS DR GENESIO REGO,Santo Antônio dos Lopes - MA,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
11,Ipatinga,EE JOAO COTTA DE FIGUEIREDO BARCELOS,Timóteo - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
12,Ipatinga,EE ALBERTINO FERREIRA DRUMOND,Santana do Paraíso - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
13,Ipatinga,EE MANOEL LOUREIRO,João Monlevade - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
14,Ipatinga,EE NILZA LUZIA DE SOUZA BUTTA,Ipatinga - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
15,Ipatinga,EE RAULINO COTTA PACHECO,Coronel Fabriciano - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
16,Ipatinga,EE TECNICO INDUSTRIAL PROFESSOR FONTES,Belo Horizonte - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
17,Ipatinga,EE SAO JOSE,Santa Rita do Itueto - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
18,Ipatinga,EE PROFESSORA DINALVA MARIA DE SOUZA,Pingo-d'Água - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
19,Ipatinga,PILAR INSTITUTO DE EDUCACAO,Ipatinga - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
20,Ipatinga,EE PROFESSOR PEDRO CALMON,Coronel Fabriciano - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
21,Ipatinga,EE PRINCESA ISABEL,Caratinga - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
22,Ipatinga,EE HERBERT JOSE DE SOUZA BETINHO,Santana do Paraíso - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
23,Ipatinga,EE PROFESSOR ANTONIO MARCIANO,Joanésia - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
24,Ipatinga,EE DOUTOR JOAQUIM GOMES DA SILVEIRA NETO,Coronel Fabriciano - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
25,Ipatinga,CAMPUS BARBACENA,Barbacena - MG,Pública Federal,Urbana,1,2026-08-18 17:45:00.000000,SUP
26,Ipatinga,EE SALVELINO FERNANDES MADEIRA,Santana do Paraíso - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
27,Ipatinga,EE NOSSA SENHORA DE FATIMA,Nova Era - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
28,Ipatinga,CESEC JOAO GUIMARAES ROSA,Ipatinga - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
29,Ipatinga,EE ENGENHEIRO AMARO LANARI JUNIOR,Ipatinga - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
30,Ipatinga,EE ALBERTO GIOVANNINI,Coronel Fabriciano - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
1,Itabirito,IFMG - CAMPUS AVANCADO ITABIRITO,Itabirito - MG,Pública Federal,Urbana,9,2026-08-18 17:45:00.000000,SUP
2,Itabirito,EE ENGENHEIRO QUEIROZ JUNIOR,Itabirito - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,SUP
3,Itabirito,EE INTENDENTE CAMARA,Itabirito - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
4,Itabirito,EE MARIA JOSEFINA SALES WARDI,Nova Lima - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
5,Itabirito,NUCLEO EDUC BRAZ NETTO,Contagem - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
6,Itabirito,EE PROFESSOR ANTONIO GONCALVES LANNA,Ponte Nova - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
7,Itabirito,CENTRO DE ENSINO LICEU TUTOIENSE,Tutóia - MA,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
8,Itabirito,EE HENRIQUE MICHEL,Itabirito - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
9,Itabirito,EE LUIZ DE MELLO VIANNA SOBRINHO,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
10,Itabirito,IFMG - CAMPUS OURO PRETO,Ouro Preto - MG,Pública Federal,Urbana,1,2026-08-18 17:45:00.000000,SUP
11,Itabirito,ESCOLA ESTADUAL DR TANCREDO DE ALMEIDA NEVES,Curionópolis - PA,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
12,Itabirito,COLEGIO ESTADUAL QUILOMBOLA DE SAO TOME TEMPO INTEGRAL COMUNIDADE QUILOMBOLA,Campo Formoso - BA,Pública Estadual,Rural,1,2026-08-18 17:45:00.000000,SUP
1,Ouro Branco,EE CONEGO LUIZ VIEIRA DA SILVA,Ouro Branco - MG,Pública Estadual,Urbana,43,2026-08-18 17:45:00.000000,SUP
2,Ouro Branco,IFMG - CAMPUS OURO BRANCO,Ouro Branco - MG,Pública Federal,Urbana,24,2026-08-18 17:45:00.000000,SUP
3,Ouro Branco,EE IRACEMA DE ALMEIDA,Ouro Branco - MG,Pública Estadual,Urbana,16,2026-08-18 17:45:00.000000,SUP
4,Ouro Branco,EE LEVINDO COSTA CARVALHO,Ouro Branco - MG,Pública Estadual,Urbana,12,2026-08-18 17:45:00.000000,SUP
5,Ouro Branco,EE LAMARTINE DE FREITAS,Congonhas - MG,Pública Estadual,Urbana,10,2026-08-18 17:45:00.000000,SUP
6,Ouro Branco,EE NARCISO DE QUEIROS,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,8,2026-08-18 17:45:00.000000,SUP
7,Ouro Branco,EE MONSENHOR HORTA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,5,2026-08-18 17:45:00.000000,SUP
8,Ouro Branco,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,5,2026-08-18 17:45:00.000000,SUP
9,Ouro Branco,CESEC PROFESSOR JOSE MARTINS SOBRINHO,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,SUP
10,Ouro Branco,EE GERALDO BITTENCOURT,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,SUP
11,Ouro Branco,ESCOLA MUNICIPAL NAPOLEAO REIS,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,4,2026-08-18 17:45:00.000000,SUP
12,Ouro Branco,EE JOSE LEANDRO,Ouro Preto - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,SUP
13,Ouro Branco,EE BARAO DE PARAOPEBA,Congonhas - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
14,Ouro Branco,IFMG - CAMPUS OURO PRETO,Ouro Preto - MG,Pública Federal,Urbana,2,2026-08-18 17:45:00.000000,SUP
15,Ouro Branco,CESEC JOSE BRAS DOS REIS,Ouro Branco - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
16,Ouro Branco,EE JOSE BONIFACIO,Belo Horizonte - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
17,Ouro Branco,EE JOAO FELIPE DA ROCHA,Nova Lima - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
18,Ouro Branco,EE QUINZINHO INACIO,Senhora de Oliveira - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
19,Ouro Branco,EE DOUTOR ANTERO CHAVES,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
20,Ouro Branco,EE CASSIANO MENDES,Pedra Azul - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
21,Ouro Branco,EE DE EDUCACAO ESPECIAL PROFESSORA MARIA CORREA COUTINHO,Ouro Branco - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
22,Ouro Branco,EE FRANCISCO ANTONIO PIRES,Barroso - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
23,Ouro Branco,YOLANDA CONTE PROFESSORA,São Vicente - SP,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
24,Ouro Branco,COLEGIO PROVIDENCIA,Mariana - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
25,Ouro Branco,SOC CULTURAL E ASSIST DOM JOSE THOMAZ,Aracaju - SE,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
26,Ouro Branco,SILVIO JOSE SECCO PROF,Jacareí - SP,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
27,Ouro Branco,EE FRANCISCO CAMPOS,Dores do Indaiá - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
28,Ouro Branco,CIEP 032 CORA CORALINA,Duque de Caxias - RJ,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
29,Ouro Branco,EE ISAURA FERREIRA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
30,Ouro Branco,EE CORONEL JOSE ILDEFONSO,Piranga - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
1,Ouro Preto,EE DOM PEDRO II,Ouro Preto - MG,Pública Estadual,Urbana,13,2026-08-18 17:45:00.000000,SUP
2,Ouro Preto,IFMG - CAMPUS OURO PRETO,Ouro Preto - MG,Pública Federal,Urbana,12,2026-08-18 17:45:00.000000,SUP
3,Ouro Preto,EE DE OURO PRETO,Ouro Preto - MG,Pública Estadual,Urbana,6,2026-08-18 17:45:00.000000,SUP
4,Ouro Preto,EE DESEMBARGADOR HORACIO ANDRADE,Ouro Preto - MG,Pública Estadual,Urbana,5,2026-08-18 17:45:00.000000,SUP
5,Ouro Preto,EE DOM SILVERIO,Mariana - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,SUP
6,Ouro Preto,INSTITUTO ESTADUAL DE EDUCACAO CIENCIA E TECNOLOGIA DO MA - IEMA PLENO SAO LUIS GONCALVES DIAS,São Luís - MA,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
7,Ouro Preto,C E PROF? LOURIVAL CHAGAS DA SILVA,Porto Velho - RO,Privada,Urbana,1,2026-08-18 17:45:00.000000,SUP
8,Ouro Preto,ANTONIO DUTRA PROFESSOR,Itatiba - SP,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
9,Ouro Preto,EE GENERAL CARNEIRO,Sabará - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
10,Ouro Preto,EE CONEGO BRAGA,Mariana - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
11,Ouro Preto,EE SAO SEBASTIAO,Cruzília - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
12,Ouro Preto,COLEGIO ESTADUAL JOAO DURVAL CARNEIRO TEMPO INTEGRAL,São Gabriel - BA,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,SUP
